time(min),concentration(nM)
15,4256.410256410256
15,4564.102564102564
15,5025.641025641025
15,7282.051282051281
15,7846.153846153846
30,2410.25641025641
30,3333.333333333334
30,4410.25641025641
30,4410.25641025641
30,4923.076923076922
30,3794.871794871795
60,1128.2051282051289
60,1384.6153846153848
60,1743.589743589746
60,2512.820512820512
60,2461.538461538463
60,2307.6923076923067
