time(min),concentration(nM)
15,20.337534714804534
15,20.296517838068795
15,22.64302499465927
15,27.69664601580861
15,27.204443494979714
30,14.003845332193961
30,13.966246528519534
30,16.842555009613335
30,20.058961760307625
30,30.125186925870537
60,
