time(min),concentration(nM)
15,432.4324324324323
15,503.3783783783781
15,543.9189189189187
15,604.7297297297297
15,685.8108108108107
30,270.2702702702702
30,432.4324324324323
30,412.1621621621621
30,483.1081081081079
30,554.0540540540541
30,665.5405405405405
60,452.7027027027025
60,503.3783783783781
60,523.6486486486485
60,523.6486486486485
60,543.9189189189187
60,665.5405405405405
