time(min),concentration(nM)
15,72.59852216748777
15,104.61822660098505
15,136.7610837438424
15,137.0689655172414
15,120.87438423645335
30,85.16009852216735
30,74.19950738916259
30,84.72906403940874
30,95.19704433497532
30,111.51477832512319
30,127.77093596059103
60,54.18719211822645
60,70.07389162561572
60,70.50492610837432
60,97.16748768472871
60,129.18719211822645
60,96.92118226600951
